Group,Trial,Block,OneOption,Phase,BlockPhase,Frame_type,Target,Prompt,Audio_name,Picture,Gif1,Gif2,ReferentTarget,AttentionGrabber,AG_URL,AttentionGrabber_sound,,,,,,,,,,
B,1,0,Y,Familiarization,Familiarization,Mismatch,hello boy,boy,look there's the boy,intro_boy.wav,intro_boy.gif,,,,,,,,,,,,,,,
B,2,0,Y,Familiarization,Familiarization,Mismatch,hello girl,girl,there's the girl,intro_girl.wav,intro_girl.gif,,,,,,,,,,,,,,,
B,3,0,Y,Familiarization,Familiarization,Mismatch,hello boy and girl,both,theres the boy and the girl,intro_both.wav,intro_both.gif,,,,,,,,,,,,,,,
B,4,0,Y,Familiarization,Familiarization,Mismatch,look carrying,carry,"look, there's carrying!",look_carrying.wav,carrying.gif,,,,,,,,,,,,,,,
B,5,0,N,Familiarization,Familiarization,Mismatch,find pig,pig,"Where is the pig, find the pig?",find_pig.wav,,pig.png,key.png,Gif1,elmo.gif,,,,,,,,,,,
B,6,0,Y,Familiarization,Familiarization,Mismatch,look carrying,carry,"look, there's carrying!",look_carrying.wav,carrying.gif,,,,,,,,,,,,,,,
B,7,0,N,Familiarization,Familiarization,Mismatch,find key,key,"Where is the key, find the key?",find_key.wav,,pig.png,key.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B,8,0,N,Familiarization,Familiarization,Mismatch,find carrying,carry,where's carrying? find carrying,find_carrying.wav,,clapping.gif,carrying.gif,Gif2,elmo.gif,,,,,,,,,,,
B1,9,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,wiggle_ear_short.gif,,,,,,,,,,,,,,,,
B1,10,1,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B1,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B1,11,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,wiggle_ear_short.gif,,,,,,,,,,,,,,,,
B1,12,1,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B1,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,,,,,,,,,,
B1,13,1,N,Test,1Test,transitive,lorp,Find lorping.,find_lorping.mp3,,warrior_short.gif,disco_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B1,14,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,lift_head_caus.gif,,,,,,,,,,,,,,,,
B1,15,2,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B1,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,,,,,,,,,,
B1,16,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,lift_head_caus.gif,,,,,,,,,,,,,,,,
B1,17,2,N,Filler,1Filler,find the fish,fish,"Where is the fish, find the fish?",find_fish.mp3,,dog.png,fish.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B1,17,2,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B1,18,2,N,Test,1Test,intransitive,pim,Find tigging.,find_pimming.mp3,,stomp.gif,twist_waist_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B1,19,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,robot_dance.gif,,,,,,,,,,,,,,,,
B1,20,3,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B1,20,3,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B1,21,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,robot_dance.gif,,,,,,,,,,,,,,,,
B1,22,3,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B1,22,3,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,elmo.gif,,,,,,,,,,,
B1,23,3,N,Test,1Test,transitive,mipe,Find miping.,find_miping.mp3,,spin_chair_intr.gif,lift_arm_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B1,24,4,Y,Exposure,1Exposure,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to riv together.",nade_intr.mp3,ear_spin_caus.gif,,,,,,,,,,,,,,,,
B1,25,4,N,Filler,1Filler,find the fish,fish,"Where is the fish, find the fish?",find_fish.mp3,,dog.png,fish.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B1,25,4,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,elmo.gif,,,,,,,,,,,
B1,26,4,Y,Exposure,1Exposure,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to nade together.",nade_intr.mp3,ear_spin_caus.gif,,,,,,,,,,,,,,,,
B1,27,4,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B1,27,4,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B1,28,4,N,Test,1Test,intransitive,nade,Find nading.,find_nading.mp3,,jump_to_split.gif,squat_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,9,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,warrior_short.gif,,,,,,,,,,,,,,,,
B2,10,1,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B2,11,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,warrior_short.gif,,,,,,,,,,,,,,,,
B2,12,1,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,,,,,,,,,,
B2,13,1,N,Test,1Exposure,transitive,lorp,Find lorping.,find_lorping.mp3,,wiggle_ear_short.gif,disco_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,14,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,twist_waist_caus.gif,,,,,,,,,,,,,,,,
B2,15,2,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,,,,,,,,,,
B2,16,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,twist_waist_caus.gif,,,,,,,,,,,,,,,,
B2,17,2,N,Filler,1Filler,find the fish,fish,"Where is the fish, find the fish?",find_fish.mp3,,dog.png,fish.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,17,2,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B2,18,2,N,Test,1Test,intransitive,pim,Find tigging.,find_pimming.mp3,,stomp.gif,lift_head_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,19,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,spin_chair_intr.gif,,,,,,,,,,,,,,,,
B2,20,3,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,20,3,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B2,21,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,spin_chair_intr.gif,,,,,,,,,,,,,,,,
B2,22,3,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,22,3,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,elmo.gif,,,,,,,,,,,
B2,23,3,N,Test,1Test,transitive,mipe,Find miping.,find_miping.mp3,,robot_dance.gif,lift_arm_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,24,4,Y,Exposure,1Exposure,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to riv together.",nade_intr.mp3,squat_caus.gif,,,,,,,,,,,,,,,,
B2,25,4,N,Filler,1Filler,find the fish,fish,"Where is the fish, find the fish?",find_fish.mp3,,dog.png,fish.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,25,4,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,elmo.gif,,,,,,,,,,,
B2,26,4,Y,Exposure,1Exposure,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to nade together.",nade_intr.mp3,squat_caus.gif,,,,,,,,,,,,,,,,
B2,27,4,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,27,4,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B2,28,4,N,Test,1Test,intransitive,nade,Find nading.,find_nading.mp3,,jump_to_split.gif,ear_spin_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B3,9,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,wiggle_ear_short.gif,,,,,,,,,,,,,,,,
B3,10,1,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B3,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B3,11,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,wiggle_ear_short.gif,,,,,,,,,,,,,,,,
B3,12,1,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B3,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,,,,,,,,,,
B3,13,1,N,Test,1Exposure,transitive,lorp,Find lorping.,find_lorping.mp3,,stomp.gif,squat_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B3,14,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,lift_head_caus.gif,,,,,,,,,,,,,,,,
B3,15,2,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B3,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,,,,,,,,,,
B3,16,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,lift_head_caus.gif,,,,,,,,,,,,,,,,
B3,17,2,N,Filler,1Filler,find the fish,fish,"Where is the fish, find the fish?",find_fish.mp3,,dog.png,fish.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B3,17,2,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B3,18,2,N,Test,1Test,intransitive,pim,Find tigging.,find_pimming.mp3,,spin_chair_intr.gif,lift_arm_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B3,19,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,robot_dance.gif,,,,,,,,,,,,,,,,
B3,20,3,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B3,20,3,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B3,21,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,robot_dance.gif,,,,,,,,,,,,,,,,
B3,22,3,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B3,22,3,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,elmo.gif,,,,,,,,,,,
