Group,Trial,Block,OneOption,Phase,BlockPhase,Condition,Frame_type,Target,Prompt,Audio_name,Picture,Gif1,Gif2,Target,AttentionGrabber,AG_URL,AttentionGrabber_sound
B,1,0,Y,Familiarization,Familiarization,Mismatch,hello boy,boy,look there's the boy,intro_boy.wav,intro_boy.gif,,,,,,
B,2,0,Y,Familiarization,Familiarization,Mismatch,hello girl,girl,there's the girl,intro_girl.wav,intro_girl.gif,,,,,,
B,3,0,Y,Familiarization,Familiarization,Mismatch,hello boy and girl,both,theres the boy and the girl,intro_both.wav,intro_both.gif,,,,,,
B,4,0,Y,Familiarization,Familiarization,Mismatch,look carrying,carry,"look, there's carrying!",look_carrying.wav,carrying.gif,,,,,,
B,5,0,N,Familiarization,Familiarization,Mismatch,find pig,pig,"Where is the pig, find the pig?",find_pig.wav,,pig.png,key.png,Gif1,elmo.gif,,ElmoYeah.wav
B,6,0,Y,Familiarization,Familiarization,Mismatch,look carrying,carry,"look, there's carrying!",look_carrying.wav,carrying.gif,,,,,,
B,7,0,N,Familiarization,Familiarization,Mismatch,find key,key,"Where is the key, find the key?",find_key.wav,,pig.png,key.png,Gif2,attentiongrabber.gif,,chimes.wav
B,8,0,N,Familiarization,Familiarization,Mismatch,find carrying,carry,where's carrying? find carrying,find_carrying.wav,,clapping.gif,carrying.gif,Gif2,elmo.gif,,ElmoYeah.wav
B1,9,1,Y,Exposure,1Exposure,Mismatch,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.wav,wiggle_ear_short.mp4.gif,,,,,,
B1,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.wav
B1,11,1,Y,Exposure,1Exposure,Mismatch,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.wav,wiggle_ear_short.mp4.gif,,,,,,
B1,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.wav
B1,13,1,N,Test,1Exposure,Mismatch,transitive,lorp,Find lorping.,find_lorping.wav,,warrior_short.mp4.gif,disco_caus.mp4.gif,Gif1,attentiongrabber.gif,,chimes.wav
B1,14,2,Y,Exposure,1Exposure,Mismatch,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.wav,lift_head_caus,,,,,,
B1,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.wav
B1,16,2,Y,Exposure,1Exposure,Mismatch,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.wav,lift_head_caus,,,,,,
B1,17,2,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,attentiongrabber.gif,,chimes.wav
B1,18,2,N,Test,1Test,Mismatch,intransitive,pim,Find tigging.,find_pimming.wav,,stomp.mp4.gif,twist_waist_caus.mp4.gif,Gif2,elmo.gif,,ElmoYeah.wav
B1,19,3,Y,Exposure,1Exposure,Mismatch,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.wav,robot_dance.mp4.gif,,,,,,
B1,20,3,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,attentiongrabber.gif,,chimes.wav
B1,21,3,Y,Exposure,1Exposure,Mismatch,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.wav,robot_dance.mp4.gif,,,,,,
B1,22,3,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,elmo.gif,,ElmoYeah.wav
B1,23,3,N,Test,1Test,Mismatch,transitive,mipe,Find miping.,find_miping.wav,,spin_chair_intr.mp4.gif,lift_arm_caus.mp4.gif,Gif1,attentiongrabber.gif,,chimes.wav
B1,24,4,Y,Exposure,1Exposure,Mismatch,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to riv together.",nade_intr.wav,ear_spin_caus.mp4.gif,,,,,,
B1,25,4,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,elmo.gif,,ElmoYeah.wav
B1,26,4,Y,Exposure,1Exposure,Mismatch,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to nade together.",nade_intr.wav,ear_spin_caus.mp4.gif,,,,,,
B1,27,4,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,attentiongrabber.gif,,chimes.wav
B1,28,4,N,Test,1Test,Mismatch,intransitive,nade,Find nading.,find_nading.wav,,jump_to_split.mp4.gif,squat_caus.mp4.gif,Gif2,elmo.gif,,ElmoYeah.wav
B2,9,1,Y,Exposure,1Exposure,Mismatch,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.wav,warrior_short.mp4.gif,,,,,,
B2,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.wav
B2,11,1,Y,Exposure,1Exposure,Mismatch,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.wav,warrior_short.mp4.gif,,,,,,
B2,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.wav
B2,13,1,N,Test,1Exposure,Mismatch,transitive,lorp,Find lorping.,find_lorping.wav,,wiggle_ear_short.mp4.gif,disco_caus.mp4.gif,Gif1,attentiongrabber.gif,,chimes.wav
B2,14,2,Y,Exposure,1Exposure,Mismatch,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.wav,twist_waist_caus.mp4.gif,,,,,,
B2,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.wav
B2,16,2,Y,Exposure,1Exposure,Mismatch,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.wav,twist_waist_caus.mp4.gif,,,,,,
B2,17,2,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,attentiongrabber.gif,,chimes.wav
B2,18,2,N,Test,1Test,Mismatch,intransitive,pim,Find tigging.,find_pimming.wav,,stomp.mp4.gif,lift_head_caus,Gif2,elmo.gif,,ElmoYeah.wav
B2,19,3,Y,Exposure,1Exposure,Mismatch,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.wav,spin_chair_intr.mp4.gif,,,,,,
B2,20,3,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,attentiongrabber.gif,,chimes.wav
B2,21,3,Y,Exposure,1Exposure,Mismatch,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.wav,spin_chair_intr.mp4.gif,,,,,,
B2,22,3,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,elmo.gif,,ElmoYeah.wav
B2,23,3,N,Test,1Test,Mismatch,transitive,mipe,Find miping.,find_miping.wav,,robot_dance.mp4.gif,lift_arm_caus.mp4.gif,Gif1,attentiongrabber.gif,,chimes.wav
B2,24,4,Y,Exposure,1Exposure,Mismatch,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to riv together.",nade_intr.wav,squat_caus.mp4.gif,,,,,,
B2,25,4,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,elmo.gif,,ElmoYeah.wav
B2,26,4,Y,Exposure,1Exposure,Mismatch,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to nade together.",nade_intr.wav,squat_caus.mp4.gif,,,,,,
B2,27,4,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,attentiongrabber.gif,,chimes.wav
B2,28,4,N,Test,1Test,Mismatch,intransitive,nade,Find nading.,find_nading.wav,,jump_to_split.mp4.gif,ear_spin_caus.mp4.gif,Gif2,elmo.gif,,ElmoYeah.wav
B3,9,1,Y,Exposure,1Exposure,Mismatch,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.wav,wiggle_ear_short.mp4.gif,,,,,,
B3,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.wav
B3,11,1,Y,Exposure,1Exposure,Mismatch,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.wav,wiggle_ear_short.mp4.gif,,,,,,
B3,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.wav
B3,13,1,N,Test,1Exposure,Mismatch,transitive,lorp,Find lorping.,find_lorping.wav,,stomp.mp4.gif,lift_arm_caus.mp4.gif,Gif1,attentiongrabber.gif,,chimes.wav
B3,14,2,Y,Exposure,1Exposure,Mismatch,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.wav,lift_head_caus,,,,,,
B3,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.wav
B3,16,2,Y,Exposure,1Exposure,Mismatch,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.wav,lift_head_caus,,,,,,
B3,17,2,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,attentiongrabber.gif,,chimes.wav
B3,18,2,N,Test,1Test,Mismatch,intransitive,pim,Find tigging.,find_pimming.wav,,spin_chair_intr.mp4.gif,squat_caus.mp4.gif,Gif2,elmo.gif,,ElmoYeah.wav
B3,19,3,Y,Exposure,1Exposure,Mismatch,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.wav,robot_dance.mp4.gif,,,,,,
B3,20,3,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,attentiongrabber.gif,,chimes.wav
B3,21,3,Y,Exposure,1Exposure,Mismatch,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.wav,robot_dance.mp4.gif,,,,,,
B3,22,3,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,elmo.gif,,ElmoYeah.wav
B3,23,3,N,Test,1Test,Mismatch,transitive,mipe,Find miping.,find_miping.wav,,jump_to_split.mp4.gif,twist_waist_caus.mp4.gif,Gif1,attentiongrabber.gif,,chimes.wav
B3,24,4,Y,Exposure,1Exposure,Mismatch,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to riv together.",nade_intr.wav,ear_spin_caus.mp4.gif,,,,,,
B3,25,4,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,elmo.gif,,ElmoYeah.wav
B3,26,4,Y,Exposure,1Exposure,Mismatch,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to nade together.",nade_intr.wav,ear_spin_caus.mp4.gif,,,,,,
B3,27,4,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,attentiongrabber.gif,,chimes.wav
B3,28,4,N,Test,1Test,Mismatch,intransitive,nade,Find nading.,find_nading.wav,,warrior_short.mp4.gif,disco_caus.mp4.gif,Gif2,elmo.gif,,ElmoYeah.wav
B4,9,1,Y,Exposure,1Exposure,Mismatch,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.wav,stomp.mp4.gif,,,,,,
B4,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.wav
B4,11,1,Y,Exposure,1Exposure,Mismatch,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.wav,stomp.mp4.gif,,,,,,
B4,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.wav
B4,13,1,N,Test,1Exposure,Mismatch,transitive,lorp,Find lorping.,find_lorping.wav,,wiggle_ear_short.mp4.gif,lift_arm_caus.mp4.gif,Gif1,attentiongrabber.gif,,chimes.wav
B4,14,2,Y,Exposure,1Exposure,Mismatch,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.wav,squat_caus.mp4.gif,,,,,,
B4,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.wav
B4,16,2,Y,Exposure,1Exposure,Mismatch,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.wav,squat_caus.mp4.gif,,,,,,
B4,17,2,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,attentiongrabber.gif,,chimes.wav
B4,18,2,N,Test,1Test,Mismatch,intransitive,pim,Find tigging.,find_pimming.wav,,spin_chair_intr.mp4.gif,lift_head_caus,Gif2,elmo.gif,,ElmoYeah.wav
B4,19,3,Y,Exposure,1Exposure,Mismatch,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.wav,jump_to_split.mp4.gif,,,,,,
B4,20,3,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,attentiongrabber.gif,,chimes.wav
B4,21,3,Y,Exposure,1Exposure,Mismatch,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.wav,jump_to_split.mp4.gif,,,,,,
B4,22,3,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,elmo.gif,,ElmoYeah.wav
B4,23,3,N,Test,1Test,Mismatch,transitive,mipe,Find miping.,find_miping.wav,,robot_dance.mp4.gif,twist_waist_caus.mp4.gif,Gif1,attentiongrabber.gif,,chimes.wav
B4,24,4,Y,Exposure,1Exposure,Mismatch,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to riv together.",nade_intr.wav,disco_caus.mp4.gif,,,,,,
B4,25,4,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,elmo.gif,,ElmoYeah.wav
B4,26,4,Y,Exposure,1Exposure,Mismatch,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to nade together.",nade_intr.wav,disco_caus.mp4.gif,,,,,,
B4,27,4,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,attentiongrabber.gif,,chimes.wav
B4,28,4,N,Test,1Test,Mismatch,intransitive,nade,Find nading.,find_nading.wav,,warrior_short.mp4.gif,ear_spin_caus.mp4.gif,Gif2,elmo.gif,,ElmoYeah.wav